"","age","job_admin.","job_blue-collar","job_entrepreneur","job_housemaid","job_management","job_retired","job_self-employed","job_services","job_student","job_technician","job_unemployed","job_unknown","marital_divorced","marital_married","marital_single","education_primary","education_secondary","education_tertiary","education_unknown","default_yes","balance","housing_yes","loan_yes","contact_cellular","contact_telephone","contact_unknown","day","duration","campaign","pdays","previous","poutcome_failure","poutcome_other","poutcome_success","poutcome_unknown","y_yes","month"
"1",58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2143,1,0,0,0,1,5,261,1,-1,0,0,0,0,1,0,"may"
"2",44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29,1,0,0,0,1,5,151,1,-1,0,0,0,0,1,0,"may"
"3",33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,1,5,76,1,-1,0,0,0,0,1,0,"may"
"4",47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1506,1,0,0,0,1,5,92,1,-1,0,0,0,0,1,0,"may"
"5",33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,5,198,1,-1,0,0,0,0,1,0,"may"
"6",35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,231,1,0,0,0,1,5,139,1,-1,0,0,0,0,1,0,"may"
"7",28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,447,1,1,0,0,1,5,217,1,-1,0,0,0,0,1,0,"may"
"8",42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,1,5,380,1,-1,0,0,0,0,1,0,"may"
"9",58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,121,1,0,0,0,1,5,50,1,-1,0,0,0,0,1,0,"may"
"10",43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,593,1,0,0,0,1,5,55,1,-1,0,0,0,0,1,0,"may"
"11",41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,270,1,0,0,0,1,5,222,1,-1,0,0,0,0,1,0,"may"
"12",29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,390,1,0,0,0,1,5,137,1,-1,0,0,0,0,1,0,"may"
"13",53,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,6,1,0,0,0,1,5,517,1,-1,0,0,0,0,1,0,"may"
"14",58,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,71,1,0,0,0,1,5,71,1,-1,0,0,0,0,1,0,"may"
"15",57,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,162,1,0,0,0,1,5,174,1,-1,0,0,0,0,1,0,"may"
"16",51,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,229,1,0,0,0,1,5,353,1,-1,0,0,0,0,1,0,"may"
"17",45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,1,0,0,0,1,5,98,1,-1,0,0,0,0,1,0,"may"
"18",57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,52,1,0,0,0,1,5,38,1,-1,0,0,0,0,1,0,"may"
"19",60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,60,1,0,0,0,1,5,219,1,-1,0,0,0,0,1,0,"may"
"20",33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5,54,1,-1,0,0,0,0,1,0,"may"
"21",28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,723,1,1,0,0,1,5,262,1,-1,0,0,0,0,1,0,"may"
"22",56,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,779,1,0,0,0,1,5,164,1,-1,0,0,0,0,1,0,"may"
"23",32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,1,1,0,0,1,5,160,1,-1,0,0,0,0,1,0,"may"
"24",25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,50,1,0,0,0,1,5,342,1,-1,0,0,0,0,1,0,"may"
"25",40,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,5,181,1,-1,0,0,0,0,1,0,"may"
"26",44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-372,1,0,0,0,1,5,172,1,-1,0,0,0,0,1,0,"may"
"27",39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,255,1,0,0,0,1,5,296,1,-1,0,0,0,0,1,0,"may"
"28",52,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,113,1,1,0,0,1,5,127,1,-1,0,0,0,0,1,0,"may"
"29",46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-246,1,0,0,0,1,5,255,2,-1,0,0,0,0,1,0,"may"
"30",36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,265,1,1,0,0,1,5,348,1,-1,0,0,0,0,1,0,"may"
"31",57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,839,0,1,0,0,1,5,225,1,-1,0,0,0,0,1,0,"may"
"32",49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,378,1,0,0,0,1,5,230,1,-1,0,0,0,0,1,0,"may"
"33",60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,39,1,1,0,0,1,5,208,1,-1,0,0,0,0,1,0,"may"
"34",59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5,226,1,-1,0,0,0,0,1,0,"may"
"35",51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10635,1,0,0,0,1,5,336,1,-1,0,0,0,0,1,0,"may"
"36",57,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,63,1,0,0,0,1,5,242,1,-1,0,0,0,0,1,0,"may"
"37",25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-7,1,0,0,0,1,5,365,1,-1,0,0,0,0,1,0,"may"
"38",53,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-3,0,0,0,0,1,5,1666,1,-1,0,0,0,0,1,0,"may"
"39",36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,506,1,0,0,0,1,5,577,1,-1,0,0,0,0,1,0,"may"
"40",37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,5,137,1,-1,0,0,0,0,1,0,"may"
"41",44,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2586,1,0,0,0,1,5,160,1,-1,0,0,0,0,1,0,"may"
"42",50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,49,1,0,0,0,1,5,180,2,-1,0,0,0,0,1,0,"may"
"43",60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,104,1,0,0,0,1,5,22,1,-1,0,0,0,0,1,0,"may"
"44",54,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,529,1,0,0,0,1,5,1492,1,-1,0,0,0,0,1,0,"may"
"45",58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,96,1,0,0,0,1,5,616,1,-1,0,0,0,0,1,0,"may"
"46",36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-171,1,0,0,0,1,5,242,1,-1,0,0,0,0,1,0,"may"
"47",58,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-364,1,0,0,0,1,5,355,1,-1,0,0,0,0,1,0,"may"
"48",44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5,225,2,-1,0,0,0,0,1,0,"may"
"49",55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,160,1,-1,0,0,0,0,1,0,"may"
"50",29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5,363,1,-1,0,0,0,0,1,0,"may"
"51",54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1291,1,0,0,0,1,5,266,1,-1,0,0,0,0,1,0,"may"
"52",48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-244,1,0,0,0,1,5,253,1,-1,0,0,0,0,1,0,"may"
"53",32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,5,179,1,-1,0,0,0,0,1,0,"may"
"54",42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-76,1,0,0,0,1,5,787,1,-1,0,0,0,0,1,0,"may"
"55",24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-103,1,1,0,0,1,5,145,1,-1,0,0,0,0,1,0,"may"
"56",38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,243,0,1,0,0,1,5,174,1,-1,0,0,0,0,1,0,"may"
"57",38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,424,1,0,0,0,1,5,104,1,-1,0,0,0,0,1,0,"may"
"58",47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,306,1,0,0,0,1,5,13,1,-1,0,0,0,0,1,0,"may"
"59",40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,1,0,0,0,1,5,185,1,-1,0,0,0,0,1,0,"may"
"60",46,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,179,1,0,0,0,1,5,1778,1,-1,0,0,0,0,1,0,"may"
"61",32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,5,138,1,-1,0,0,0,0,1,0,"may"
"62",53,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,989,1,0,0,0,1,5,812,1,-1,0,0,0,0,1,0,"may"
"63",57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,249,1,0,0,0,1,5,164,1,-1,0,0,0,0,1,0,"may"
"64",33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,790,1,0,0,0,1,5,391,1,-1,0,0,0,0,1,0,"may"
"65",49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,154,1,0,0,0,1,5,357,1,-1,0,0,0,0,1,0,"may"
"66",51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6530,1,0,0,0,1,5,91,1,-1,0,0,0,0,1,0,"may"
"67",60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,100,0,0,0,0,1,5,528,1,-1,0,0,0,0,1,0,"may"
"68",59,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,59,1,0,0,0,1,5,273,1,-1,0,0,0,0,1,0,"may"
"69",55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1205,1,0,0,0,1,5,158,2,-1,0,0,0,0,1,0,"may"
"70",35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12223,1,1,0,0,1,5,177,1,-1,0,0,0,0,1,0,"may"
"71",57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5935,1,1,0,0,1,5,258,1,-1,0,0,0,0,1,0,"may"
"72",31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,25,1,1,0,0,1,5,172,1,-1,0,0,0,0,1,0,"may"
"73",54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,282,1,1,0,0,1,5,154,1,-1,0,0,0,0,1,0,"may"
"74",55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,23,1,0,0,0,1,5,291,1,-1,0,0,0,0,1,0,"may"
"75",43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1937,1,0,0,0,1,5,181,1,-1,0,0,0,0,1,0,"may"
"76",53,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,384,1,0,0,0,1,5,176,1,-1,0,0,0,0,1,0,"may"
"77",44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,582,0,1,0,0,1,5,211,1,-1,0,0,0,0,1,0,"may"
"78",55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,91,0,0,0,0,1,5,349,1,-1,0,0,0,0,1,0,"may"
"79",49,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,5,272,1,-1,0,0,0,0,1,0,"may"
"80",55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,5,208,1,-1,0,0,0,0,1,0,"may"
"81",45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,206,1,0,0,0,1,5,193,1,-1,0,0,0,0,1,0,"may"
"82",47,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,164,0,0,0,0,1,5,212,1,-1,0,0,0,0,1,0,"may"
"83",42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,690,1,0,0,0,1,5,20,1,-1,0,0,0,0,1,0,"may"
"84",59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2343,1,0,0,0,1,5,1042,1,-1,0,0,0,0,1,1,"may"
"85",46,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,137,1,1,0,0,1,5,246,1,-1,0,0,0,0,1,0,"may"
"86",51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,173,1,0,0,0,1,5,529,2,-1,0,0,0,0,1,0,"may"
"87",56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,45,0,0,0,0,1,5,1467,1,-1,0,0,0,0,1,1,"may"
"88",41,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1270,1,0,0,0,1,5,1389,1,-1,0,0,0,0,1,1,"may"
"89",46,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,1,1,0,0,1,5,188,2,-1,0,0,0,0,1,0,"may"
"90",57,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,486,1,0,0,0,1,5,180,2,-1,0,0,0,0,1,0,"may"
"91",42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50,0,0,0,0,1,5,48,1,-1,0,0,0,0,1,0,"may"
"92",30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,152,1,1,0,0,1,5,213,2,-1,0,0,0,0,1,0,"may"
"93",60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,290,1,0,0,0,1,5,583,1,-1,0,0,0,0,1,0,"may"
"94",60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,54,1,0,0,0,1,5,221,1,-1,0,0,0,0,1,0,"may"
"95",57,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-37,0,0,0,0,1,5,173,1,-1,0,0,0,0,1,0,"may"
"96",36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,101,1,1,0,0,1,5,426,1,-1,0,0,0,0,1,0,"may"
"97",55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,383,0,0,0,0,1,5,287,1,-1,0,0,0,0,1,0,"may"
"98",60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,81,1,0,0,0,1,5,101,1,-1,0,0,0,0,1,0,"may"
"99",39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5,203,1,-1,0,0,0,0,1,0,"may"
"100",46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,229,1,0,0,0,1,5,197,1,-1,0,0,0,0,1,0,"may"
"101",44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-674,1,0,0,0,1,5,257,1,-1,0,0,0,0,1,0,"may"
