"","age","job_admin.","job_blue-collar","job_entrepreneur","job_housemaid","job_management","job_retired","job_self-employed","job_services","job_student","job_technician","job_unemployed","job_unknown","marital_divorced","marital_married","marital_single","education_primary","education_secondary","education_tertiary","education_unknown","default_yes","balance","housing_yes","loan_yes","contact_cellular","contact_telephone","contact_unknown","day","duration","campaign","pdays","previous","poutcome_failure","poutcome_other","poutcome_success","poutcome_unknown","y_yes","month"
"1",33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,882,0,0,0,1,0,21,39,1,151,3,1,0,0,0,0,"oct"
"2",42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-247,1,1,0,1,0,21,519,1,166,1,0,1,0,0,1,"oct"
"3",33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3444,1,0,0,1,0,21,144,1,91,4,1,0,0,0,1,"oct"
"4",36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2415,1,0,0,1,0,22,73,1,86,4,0,1,0,0,0,"oct"
"5",36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,23,140,1,143,3,1,0,0,0,1,"oct"
"6",56,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,589,1,0,0,0,1,23,518,1,147,2,0,0,1,0,1,"oct"
"7",44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1324,1,0,0,1,0,25,119,1,89,2,0,1,0,0,0,"oct"
"8",26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,172,0,1,0,1,0,4,21,1,140,4,0,1,0,0,0,"nov"
"9",51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3132,0,0,0,1,0,5,449,1,176,1,1,0,0,0,0,"nov"
"10",34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1770,1,0,0,0,1,6,26,1,101,11,0,1,0,0,0,"nov"
"11",33,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1005,1,0,0,1,0,10,175,1,174,2,1,0,0,0,0,"nov"
"12",34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,899,1,0,0,0,1,12,114,1,170,3,1,0,0,0,1,"nov"
"13",30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,873,1,0,0,1,0,12,119,1,167,3,0,0,1,0,0,"nov"
"14",30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1243,1,0,0,1,0,13,86,1,174,1,1,0,0,0,0,"nov"
"15",44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1631,1,0,1,0,0,17,81,1,195,2,1,0,0,0,0,"nov"
"16",51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,119,0,0,1,0,0,17,200,1,165,2,1,0,0,0,0,"nov"
"17",51,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,58,1,0,1,0,0,17,79,1,129,2,1,0,0,0,0,"nov"
"18",44,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6203,1,1,1,0,0,17,58,1,188,1,1,0,0,0,0,"nov"
"19",34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,105,1,0,1,0,0,17,303,1,196,2,1,0,0,0,0,"nov"
"20",49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1533,0,0,1,0,0,17,324,1,172,1,1,0,0,0,0,"nov"
"21",47,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,228,1,0,1,0,0,17,80,1,118,1,1,0,0,0,0,"nov"
"22",40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1623,1,0,1,0,0,17,161,1,167,2,1,0,0,0,0,"nov"
"23",47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1484,0,0,1,0,0,17,297,1,119,3,1,0,0,0,0,"nov"
"24",38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,494,0,0,1,0,0,17,146,1,104,2,0,1,0,0,0,"nov"
"25",54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,198,1,1,1,0,0,17,120,1,171,2,1,0,0,0,0,"nov"
"26",52,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1701,1,1,1,0,0,17,381,1,117,2,0,1,0,0,0,"nov"
"27",48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,295,1,0,1,0,0,17,123,1,164,2,0,0,1,0,0,"nov"
"28",45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1477,1,0,1,0,0,17,75,1,132,1,1,0,0,0,0,"nov"
"29",39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,401,1,0,1,0,0,17,396,1,129,2,1,0,0,0,0,"nov"
"30",39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3324,0,0,1,0,0,17,96,1,131,1,1,0,0,0,0,"nov"
"31",37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,17,44,1,123,2,1,0,0,0,0,"nov"
"32",49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,64,0,0,1,0,0,17,208,1,159,1,0,0,1,0,0,"nov"
"33",58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,17,219,1,186,2,1,0,0,0,0,"nov"
"34",43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1865,1,0,1,0,0,17,155,1,186,1,1,0,0,0,0,"nov"
"35",35,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1718,1,1,1,0,0,17,74,1,167,16,0,1,0,0,0,"nov"
"36",50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,633,0,1,0,1,0,17,302,1,111,6,1,0,0,0,0,"nov"
"37",42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,35,1,1,1,0,0,17,38,1,115,5,0,1,0,0,0,"nov"
"38",56,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2749,1,1,1,0,0,17,38,1,172,2,1,0,0,0,0,"nov"
"39",51,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,209,0,0,1,0,0,17,130,1,111,2,1,0,0,0,0,"nov"
"40",50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,246,1,0,1,0,0,17,270,1,123,2,1,0,0,0,0,"nov"
"41",45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1415,1,0,1,0,0,17,483,1,116,1,1,0,0,0,0,"nov"
"42",40,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5766,1,1,1,0,0,17,68,2,173,1,1,0,0,0,0,"nov"
"43",30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,101,1,0,1,0,0,17,348,1,123,1,1,0,0,0,0,"nov"
"44",39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,500,1,0,1,0,0,17,257,1,178,2,0,1,0,0,0,"nov"
"45",36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5057,1,0,1,0,0,17,70,1,166,10,1,0,0,0,0,"nov"
"46",34,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1265,1,0,1,0,0,17,118,1,164,3,1,0,0,0,0,"nov"
"47",48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8106,0,0,0,0,1,17,125,1,111,3,1,0,0,0,0,"nov"
"48",59,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,17,90,2,110,2,1,0,0,0,0,"nov"
"49",53,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1364,0,0,1,0,0,17,508,1,115,1,1,0,0,0,0,"nov"
"50",46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,46,0,1,1,0,0,17,80,1,152,1,1,0,0,0,0,"nov"
"51",52,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5423,0,1,1,0,0,17,93,1,115,1,1,0,0,0,0,"nov"
"52",58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8332,0,0,0,0,1,17,164,2,96,4,1,0,0,0,0,"nov"
"53",56,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,689,1,0,1,0,0,17,110,1,103,4,1,0,0,0,0,"nov"
"54",49,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2370,1,1,0,0,1,17,56,1,103,2,0,1,0,0,0,"nov"
"55",34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,17,214,1,174,2,1,0,0,0,0,"nov"
"56",32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4344,1,0,1,0,0,17,79,2,118,3,1,0,0,0,0,"nov"
"57",54,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,472,1,1,0,0,1,17,229,2,150,1,1,0,0,0,0,"nov"
"58",59,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,514,1,0,1,0,0,17,573,1,188,1,0,1,0,0,0,"nov"
"59",59,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,252,1,1,1,0,0,17,138,1,175,2,1,0,0,0,0,"nov"
"60",40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,17,74,2,196,1,1,0,0,0,0,"nov"
"61",45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4425,0,0,0,0,1,17,147,1,110,2,1,0,0,0,0,"nov"
"62",43,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-36,1,0,1,0,0,17,190,1,104,1,1,0,0,0,0,"nov"
"63",43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,17,103,2,193,3,1,0,0,0,0,"nov"
"64",55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1730,0,0,1,0,0,17,89,2,118,3,1,0,0,0,0,"nov"
"65",49,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,202,1,0,1,0,0,17,651,2,104,1,1,0,0,0,1,"nov"
"66",49,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,313,1,0,1,0,0,17,42,2,188,2,1,0,0,0,0,"nov"
"67",39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,419,1,0,1,0,0,17,186,1,181,1,1,0,0,0,0,"nov"
"68",42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,14282,1,0,1,0,0,17,77,1,103,4,0,0,1,0,0,"nov"
"69",56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1270,1,0,1,0,0,17,80,2,165,2,0,1,0,0,0,"nov"
"70",44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4826,1,0,1,0,0,17,102,1,185,4,0,1,0,0,0,"nov"
"71",42,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1048,1,0,1,0,0,17,71,1,186,1,1,0,0,0,0,"nov"
"72",41,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,112,1,0,1,0,0,17,1081,1,131,1,1,0,0,0,0,"nov"
"73",51,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,563,1,0,1,0,0,17,504,1,123,3,1,0,0,0,0,"nov"
"74",36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1797,1,1,1,0,0,17,166,1,181,2,1,0,0,0,0,"nov"
"75",52,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3440,1,0,1,0,0,17,124,1,131,1,1,0,0,0,0,"nov"
"76",42,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,373,0,0,1,0,0,17,174,1,154,3,1,0,0,0,0,"nov"
"77",45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2020,1,0,1,0,0,17,62,1,131,1,1,0,0,0,0,"nov"
"78",35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,1,0,1,0,0,17,128,1,181,1,1,0,0,0,0,"nov"
"79",38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,425,1,0,1,0,0,17,240,1,181,1,1,0,0,0,0,"nov"
"80",47,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,80,0,1,1,0,0,17,74,1,145,1,1,0,0,0,0,"nov"
"81",43,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,634,1,0,1,0,0,17,65,1,131,1,1,0,0,0,0,"nov"
"82",33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,17,809,3,181,1,0,1,0,0,0,"nov"
"83",40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,677,1,0,1,0,0,17,619,1,171,5,0,1,0,0,0,"nov"
"84",42,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,970,1,0,0,1,0,17,725,1,119,10,0,0,1,0,0,"nov"
"85",54,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,899,0,1,1,0,0,17,61,1,145,1,0,1,0,0,0,"nov"
"86",50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,830,0,0,1,0,0,17,71,1,138,2,1,0,0,0,0,"nov"
"87",54,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2719,1,0,1,0,0,17,166,2,171,2,1,0,0,0,0,"nov"
"88",44,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,17,58,1,195,2,1,0,0,0,0,"nov"
"89",43,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-259,0,0,1,0,0,17,732,1,171,2,0,1,0,0,0,"nov"
"90",51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,248,1,1,1,0,0,17,139,2,126,3,1,0,0,0,0,"nov"
"91",51,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,12061,1,0,1,0,0,17,150,1,188,1,1,0,0,0,0,"nov"
"92",42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-15,0,0,1,0,0,17,89,1,145,1,1,0,0,0,0,"nov"
"93",46,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,17,407,1,150,3,0,0,1,0,0,"nov"
