"X","age","job_admin.","job_blue.collar","job_entrepreneur","job_housemaid","job_management","job_retired","job_self.employed","job_services","job_student","job_technician","job_unemployed","marital_divorced","marital_married","education_primary","education_secondary","education_tertiary","default_yes","balance","housing_yes","loan_yes","contact_cellular","contact_telephone","duration","campaign","poutcome_failure","poutcome_other","poutcome_success","y_yes","zero_previous"
12766,0.324675324675325,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0655765983331215,0,0,1,0,0.0386335908906059,0.0483870967741935,0,0,0,0,1
10671,0.246753246753247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.187024494761498,0,0,0,0,0.0315168767791785,0.0483870967741935,0,0,0,0,1
23159,0.168831168831169,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0775788498901458,0,0,1,0,0.0264335095567304,0.193548387096774,0,0,0,0,1
2299,0.337662337662338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0754816334683057,1,0,0,0,0.0209434729564864,0.112903225806452,0,0,0,0,1
19606,0.415584415584416,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.074183356635738,0,0,1,0,0.0217568117120781,0.0483870967741935,0,0,0,0,1
20252,0.155844155844156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.100911517440488,1,0,1,0,0.0553070353802359,0.0483870967741935,0,0,0,0,1
34775,0.454545454545455,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0735387576489387,1,0,1,0,0.0361935746238308,0.0645161290322581,1,0,0,0,0
15437,0.337662337662338,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0749459807891344,1,1,0,1,0.0404636030906873,0.032258064516129,0,0,0,0,1
22919,0.298701298701299,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.079803170337552,1,0,1,0,0.0215534770231802,0.112903225806452,0,0,0,0,1
7010,0.285714285714286,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0728215277903873,0,0,0,0,0.0380235868239122,0.032258064516129,0,0,0,0,1
26234,0.25974025974026,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.154086394421949,0,1,1,0,0.0612037413582757,0,0,0,0,0,1
